Time (s),ADC Value,Duty Cyle %
1764966933.5600033,1016,99.31573802541544
1764966934.295584,936,91.49560117302053
1764966935.0901287,900,87.97653958944282
1764966935.889673,901,88.07429130009774
1764966936.6842182,900,87.97653958944282
1764966937.477765,903,88.26979472140762
1764966938.2713108,903,88.26979472140762
1764966939.064859,897,87.68328445747801
1764966939.8584054,901,88.07429130009774
1764966940.652951,907,88.66080156402735
1764966941.454492,899,87.87878787878788
1764966942.2490377,897,87.68328445747801
1764966943.0425851,859,83.9687194525904
1764966943.8351328,859,83.9687194525904
1764966944.6286786,890,86.99902248289345
1764966945.4232254,876,85.63049853372435
1764966946.2177706,875,85.5327468230694
1764966947.0173137,800,78.20136852394917
1764966947.81186,879,85.92375366568915
1764966948.6054068,879,85.92375366568915
1764966949.3999527,873,85.33724340175954
1764966950.1925015,852,83.28445747800586
1764966950.987045,883,86.31476050830888
1764966951.7815921,872,85.23949169110459
1764966952.5811381,871,85.14173998044964
1764966953.37668,874,85.43499511241447
1764966954.1702273,878,85.8260019550342
1764966954.9637735,878,85.8260019550342
1764966955.7573204,907,88.66080156402735
1764966956.549867,735,71.8475073313783
1764966957.3464117,480,46.9208211143695
1764966958.1429586,475,46.43206256109482
1764966958.9365041,472,46.138807429130004
1764966959.7300503,475,46.43206256109482
1764966960.5275953,479,46.82306940371457
1764966961.321141,477,46.6275659824047
1764966962.1146884,479,46.82306940371457
1764966962.9132307,444,43.40175953079179
1764966963.7067783,444,43.40175953079179
1764966964.1055498,486,47.50733137829912
1764966964.8990963,486,47.50733137829912
1764966965.694642,479,46.82306940371457
1764966966.490188,444,43.40175953079179
1764966967.2807357,468,45.747800586510266
1764966968.0782802,494,48.28934506353861
1764966968.8718271,443,43.30400782013685
1764966969.6683788,437,42.717497556207235
1764966970.4639173,480,46.9208211143695
1764966971.2564635,417,40.7624633431085
1764966972.0500107,388,37.92766373411535
1764966972.8470888,404,39.49169110459433
1764966973.6406388,355,34.701857282502445
1764966974.439186,329,32.16031280547409
1764966975.2317314,329,32.16031280547409
1764966976.0262175,369,36.070381231671554
1764966976.8230608,273,26.68621700879765
1764966977.6164317,300,29.325513196480934
1764966978.4099784,349,34.11534701857283
1764966979.2052727,308,30.107526881720432
1764966980.0051224,316,30.889540566959923
1764966980.793927,316,30.889540566959923
1764966981.5902398,336,32.84457478005865
1764966982.3861315,281,27.468230694037143
1764966983.179809,310,30.303030303030305
1764966983.9743543,383,37.43890518084066
1764966984.7699003,367,35.87487781036168
1764966985.5654452,342,33.43108504398827
1764966986.3589942,421,41.15347018572825
1764966987.1554637,431,42.13098729227762
1764966987.9510176,358,34.99511241446726
1764966988.7465641,389,38.02541544477028
1764966989.54111,438,42.815249266862175
1764966990.335656,388,37.92766373411535
1764966991.1292017,368,35.97262952101662
1764966991.924604,447,43.695014662756606
1764966992.7201338,440,43.01075268817204
1764966993.5143535,377,36.852394916911045
1764966994.3089035,412,40.27370478983382
1764966995.103446,455,44.47702834799609
1764966995.89999,401,39.19843597262952
1764966996.6960287,370,36.168132942326494
1764966997.487976,439,42.9130009775171
1764966998.282172,435,42.52199413489737
1764966999.0802915,463,45.25904203323558
1764966999.8752174,454,44.37927663734115
1764967000.6698318,485,47.40957966764419
1764967001.4655547,486,47.50733137829912
1764967002.260988,476,46.52981427174976
1764967003.0546465,486,47.50733137829912
1764967003.8471975,486,47.50733137829912
1764967004.6427422,468,45.747800586510266
1764967005.4392884,470,45.94330400782014
1764967006.2305844,484,47.31182795698924
1764967007.0293067,471,46.04105571847508
1764967007.820843,471,46.04105571847508
1764967008.6172104,485,47.40957966764419
1764967009.4113822,483,47.214076246334315
1764967010.207852,456,44.57478005865103
1764967011.0041049,476,46.52981427174976
